,De+I,W,Di
1,0.424034,0.35114527,0.2248207
2,0.6522047,0.29287368,0.05492164
3,0.15440443,0.4897011,0.35589448
4,0.0059625055,0.99402964,7.816486e-06
5,0.39026955,0.30983952,0.2998909
6,0.0047523966,0.8091241,0.18612342
7,0.38982102,0.30994347,0.30023545
8,0.22033753,0.77941555,0.00024692318
