ROC-AUC,[0.71045089 0.68944618 0.58578053]
F1,[0.20652174 0.86071429 0.        ]
Recall,[0.12179487 0.98167006 0.        ]
Precision,[0.67857143 0.76629571 0.        ]
ARI,0.08914318658946215
NMI,0.04969458760098802
