ROC-AUC,[0.71037412 0.68986332 0.66692427]
F1,[0.2408377  0.86073675 0.        ]
Recall,[0.1474359  0.97556008 0.        ]
Precision,[0.65714286 0.77009646 0.        ]
ARI,0.10383404383697932
NMI,0.05513456194010935
